iter	Passed	Remaining
602	3907	2572
603	3914	2566
604	3919	2558
605	3925	2552
606	3930	2545
607	3936	2538
608	3942	2531
609	3947	2524
610	3953	2517
611	3961	2511
612	3982	2514
613	3988	2507
614	3994	2500
615	3999	2493
616	4005	2486
617	4012	2479
618	4017	2472
619	4024	2466
620	4029	2459
621	4035	2452
622	4042	2446
623	4047	2438
624	4053	2431
625	4058	2424
626	4064	2417
627	4069	2410
628	4074	2403
629	4080	2396
630	4086	2389
631	4092	2383
632	4098	2375
633	4104	2369
634	4110	2362
635	4115	2355
636	4121	2348
637	4127	2341
638	4132	2334
639	4139	2328
640	4144	2321
641	4149	2313
642	4154	2306
643	4160	2300
644	4166	2293
645	4171	2286
646	4177	2279
647	4183	2272
648	4188	2265
649	4194	2258
650	4199	2251
651	4205	2244
652	4210	2237
653	4216	2230
654	4229	2227
655	4234	2220
656	4240	2213
657	4245	2206
658	4252	2200
659	4257	2193
660	4263	2186
661	4269	2179
662	4274	2172
663	4279	2165
664	4286	2159
665	4292	2152
666	4297	2145
667	4303	2138
668	4308	2131
669	4313	2124
670	4319	2117
671	4324	2110
672	4330	2104
673	4335	2097
674	4341	2090
675	4347	2083
676	4352	2076
677	4358	2069
678	4363	2062
679	4369	2056
680	4374	2049
681	4380	2042
682	4385	2035
683	4391	2028
684	4397	2021
685	4402	2015
686	4407	2008
687	4413	2001
688	4419	1994
689	4424	1988
690	4430	1981
691	4435	1974
692	4440	1967
693	4445	1960
694	4451	1953
695	4456	1946
696	4461	1939
697	4467	1932
698	4472	1926
699	4480	1920
700	4492	1916
701	4498	1909
702	4503	1902
703	4509	1896
704	4515	1889
705	4521	1882
706	4526	1875
707	4532	1869
708	4537	1862
709	4543	1855
710	4548	1848
711	4554	1842
712	4560	1835
713	4566	1829
714	4571	1822
715	4577	1815
716	4583	1808
717	4588	1802
718	4595	1795
719	4600	1789
720	4605	1782
721	4611	1775
722	4617	1768
723	4623	1762
724	4628	1755
725	4633	1748
726	4639	1742
727	4645	1735
728	4650	1728
729	4656	1722
730	4662	1715
731	4667	1708
732	4673	1702
733	4679	1695
734	4685	1689
735	4690	1682
736	4697	1676
737	4702	1669
738	4708	1662
739	4713	1656
740	4719	1649
741	4733	1645
742	4739	1639
743	4745	1632
744	4750	1625
745	4755	1619
746	4761	1612
747	4767	1606
748	4772	1599
749	4778	1592
750	4784	1586
751	4791	1580
752	4796	1573
753	4802	1566
754	4808	1560
755	4814	1553
756	4820	1547
757	4836	1544
758	4842	1537
759	4847	1530
760	4852	1524
761	4858	1517
762	4864	1510
763	4870	1504
764	4876	1498
765	4882	1491
766	4887	1484
767	4894	1478
768	4900	1471
769	4906	1465
770	4912	1458
771	4918	1452
772	4924	1446
773	4929	1439
774	4934	1432
775	4941	1426
776	4946	1419
777	4951	1413
778	4957	1406
779	4963	1399
780	4968	1393
781	4974	1386
782	4981	1380
783	5003	1378
784	5008	1371
785	5014	1365
786	5021	1358
787	5026	1352
788	5032	1345
789	5037	1339
790	5042	1332
791	5047	1325
792	5053	1319
793	5059	1312
794	5065	1306
795	5071	1299
796	5076	1293
797	5082	1286
798	5088	1280
799	5093	1273
800	5099	1266
801	5105	1260
802	5111	1253
803	5118	1247
804	5123	1241
805	5129	1234
806	5135	1228
807	5140	1221
808	5145	1214
809	5151	1208
810	5157	1201
811	5163	1195
812	5169	1189
813	5174	1182
814	5180	1175
815	5187	1169
816	5192	1163
817	5198	1156
818	5203	1150
819	5209	1143
820	5214	1136
821	5220	1130
822	5226	1123
823	5232	1117
824	5242	1112
825	5252	1106
826	5259	1100
827	5265	1093
828	5271	1087
829	5277	1080
830	5283	1074
831	5289	1068
832	5294	1061
833	5302	1055
834	5307	1048
835	5314	1042
836	5320	1036
837	5326	1029
838	5332	1023
839	5337	1016
840	5343	1010
841	5349	1003
842	5354	997
843	5361	990
844	5367	984
845	5372	977
846	5377	971
847	5384	965
848	5390	958
849	5397	952
850	5402	945
851	5409	939
852	5415	933
853	5421	926
854	5427	920
855	5433	914
856	5439	907
857	5445	901
858	5451	894
859	5456	888
860	5462	881
861	5469	875
862	5475	869
863	5480	862
864	5486	856
865	5492	849
866	5504	844
867	5513	838
868	5518	831
869	5525	825
870	5531	819
871	5536	812
872	5542	806
873	5548	799
874	5553	793
875	5559	787
876	5565	780
877	5572	774
878	5578	767
879	5584	761
880	5590	755
881	5596	748
882	5602	742
883	5607	735
884	5613	729
885	5620	723
886	5626	716
887	5631	710
888	5637	703
889	5643	697
890	5649	691
891	5655	684
892	5660	678
893	5666	671
894	5672	665
895	5678	659
896	5684	652
897	5690	646
898	5696	639
899	5701	633
900	5707	627
901	5713	620
902	5719	614
903	5726	608
904	5732	601
905	5739	595
906	5744	589
907	5750	582
908	5766	577
909	5771	570
910	5778	564
911	5783	558
912	5791	551
913	5797	545
914	5803	539
915	5808	532
916	5815	526
917	5821	520
918	5833	514
919	5840	507
920	5845	501
921	5852	495
922	5859	488
923	5863	482
924	5870	475
925	5875	469
926	5881	463
927	5887	456
928	5893	450
929	5899	444
930	5905	437
931	5910	431
932	5916	424
933	5923	418
934	5929	412
935	5935	405
936	5941	399
937	5946	393
938	5953	386
939	5958	380
940	5962	373
941	5968	367
942	5974	361
943	5980	354
944	5986	348
945	5991	342
946	5999	335
947	6012	329
948	6017	323
949	6024	317
950	6029	310
951	6035	304
952	6041	297
953	6047	291
954	6053	285
955	6059	278
956	6065	272
957	6071	266
958	6076	259
959	6082	253
960	6088	247
961	6094	240
962	6099	234
963	6105	227
964	6111	221
965	6116	215
966	6121	208
967	6127	202
968	6133	196
969	6139	189
970	6144	183
971	6150	177
972	6155	170
973	6161	164
974	6167	158
975	6172	151
976	6178	145
977	6183	139
978	6187	132
979	6193	126
980	6199	120
981	6204	113
982	6210	107
983	6215	101
984	6222	94
985	6227	88
986	6233	82
987	6238	75
988	6249	69
989	6261	63
990	6266	56
991	6272	50
992	6278	44
993	6283	37
994	6289	31
995	6295	25
996	6300	18
997	6306	12
998	6312	6
999	6317	0
